precio_promedio,temp_min_c,temp_avg_c,temp_max_c,importaciones_kg,precio_importacion_usd,year,precio_lag1,precio_lag2,precio_lag3,precio_ma3,precio_ma6,precio_ma12,precio_std3,precio_promedio_log,cosecha_tons_log,precio_promedio_boxcox,temp_avg_c_boxcox,temp_marcena,month_cos
95.708,17.5,24.2,31.0,39496437.0,5.58672446833622,2022.0,87.84,82.162,66.814,88.57000000000001,74.30900000000001,63.35691666666667,6.802441032452936,4.571696129130374,0.0,1.2911544793777636,3400.61134983874,1.0,-1.0
91.198,17.2,23.5,29.9,53654930.0,3.743214630976128,2022.0,95.708,87.84,82.162,91.582,80.66283333333332,66.73666666666666,3.9480309016013777,4.523938438353304,0.0,1.2895728034273646,3138.766191997645,0.0,-0.8660254037844388
63.79,17.1,23.1,29.2,72344152.0,2.641037550623304,2022.0,91.198,95.708,87.84,83.56533333333333,81.252,67.301,17.273762801813987,4.171151270461866,0.0,1.27595835227488,2995.1946761698623,0.0,-0.5000000000000004
54.859,16.9,22.9,28.9,87937032.0,2.135891395561315,2022.0,63.79,91.198,95.708,69.949,79.2595,66.5895,18.9362269473092,4.022830658459188,0.0,1.2690689150948111,2925.035513125886,0.0,-1.8369701987210297e-16
42.145,14.8,21.9,29.1,102728089.0,1.954266198799824,2022.0,54.859,63.79,91.198,53.598000000000006,72.58999999999999,65.87591666666667,10.877458204930011,3.7645665359602707,0.0,1.2550841358402816,2590.2020604446307,0.0,0.5000000000000001
41.816,11.8,20.3,28.8,91715675.0,1.7983557445333092,2022.0,42.145,54.859,63.79,46.27333333333334,64.91933333333334,65.49683333333333,7.437224908077779,3.7569118645057635,0.0,1.254626933102752,2107.9530814777195,0.0,0.8660254037844384
39.671,9.2,18.0,26.8,108882435.0,1.7656680069654944,2022.0,41.816,42.145,54.859,41.21066666666667,55.57983333333333,64.94441666666667,1.3434992866885012,3.705515307765362,0.0,1.251488226297857,1522.9962102980428,0.0,1.0
39.709999999999994,7.8,17.4,26.9,119377959.0,1.804238360282236,2023.0,39.671,41.816,42.145,40.398999999999994,46.9985,63.83066666666667,1.2273129185334828,3.706473762514887,0.0,1.2515478705068137,1390.1333605137984,0.0,0.8660254037844387
31.3,10.0,19.4,28.8,95056574.0,1.8530155105316544,2023.0,39.709999999999994,39.671,41.816,36.89366666666667,41.5835,61.417750000000005,4.844296680977789,3.475067230228611,0.0,1.2358293250087145,1864.356047306888,0.0,0.5000000000000001
39.94,11.2,21.1,31.0,126480515.0,2.247249412290897,2023.0,31.3,39.709999999999994,39.671,36.98333333333333,39.097,59.17825,4.923254343758041,3.7121075802331434,0.0,1.2518975958832077,2341.0329351599657,0.0,6.123233995736766e-17
47.32,13.0,21.9,30.8,107273418.0,2.2257470811641333,2023.0,39.94,31.3,39.709999999999994,39.52,39.9595,56.274750000000004,8.01825417407051,3.8778455536265595,0.0,1.2615523503512636,2590.2020604446307,1.0,-0.49999999999999983
41.665000000000006,15.6,24.4,33.2,93268998.0,2.134488182236074,2023.0,47.32,39.94,31.3,42.975,39.934333333333335,52.42683333333333,3.860463055126831,3.7533789119885483,0.0,1.2544150287219282,3477.937781158793,1.0,-0.8660254037844387
44.23,17.6,26.5,35.3,69655598.0,2.842339434082527,2023.0,41.665000000000006,47.32,39.94,44.405,40.69416666666667,48.137,2.8315587579987045,3.8117605834897517,0.0,1.257845776074938,4359.576987422685,1.0,-1.0
68.25,17.8,24.3,30.9,55488216.0,3.689162361968891,2023.0,44.23,41.665000000000006,47.32,51.38166666666667,45.45083333333333,46.22466666666667,14.664593698201545,4.237723145067448,10.807057720000902,1.2788102204476577,3439.1336701043588,0.0,-0.8660254037844388
67.775,17.1,23.5,30.0,69608583.0,3.62309902214214,2023.0,68.25,44.23,41.665000000000006,60.085,51.53,46.55675,13.7328866229937,4.230840306810638,0.0,1.2785219170986362,3138.766191997645,0.0,-0.5000000000000004
63.49,17.0,23.7,30.5,92114956.0,2.8127512322754624,2023.0,67.775,68.25,44.23,66.50500000000001,55.455000000000005,47.276,2.621845723912675,4.166510173022286,11.274224014740069,1.275754177733656,3212.193679758532,0.0,-1.8369701987210297e-16
55.56999999999999,15.5,21.8,28.0,98356706.0,2.400563028208773,2023.0,63.49,67.775,68.25,62.278333333333336,56.830000000000005,48.394749999999995,6.192060104144057,4.035478809355064,11.657380724309053,1.269686736077291,2558.1592573701837,0.0,0.5000000000000001
44.995,13.1,20.5,27.9,93669621.0,2.335533555751229,2023.0,55.56999999999999,63.49,67.775,54.685,57.38499999999999,48.65966666666666,9.279206593238397,3.8285326949291205,11.352157942040664,1.258803940236273,2164.7415859143057,0.0,0.8660254037844384
32.725,10.4,17.1,23.7,103655740.0,2.3318994490801956,2023.0,44.995,55.56999999999999,63.49,44.43,55.4675,48.08083333333334,11.432975334531191,3.5182394020938195,0.0,1.2389723167063633,1326.622875082936,0.0,1.0
